datetime,action,price,amount,krw,pnl_pct,sell_reason,regime,xgb_prob,score,ema_gap,holding_bars,entry_reason
2026-04-14 05:00 KST,BUY,108660000.0,0.0169363874831707,1840307.863921328,,,Trend_Up,0.566,5.2,0.97,,EMA
2026-04-15 00:45 KST,BUY,111181916.14576477,0.016864982625316726,1875081.084047744,,,Trend_Up,0.516,5.2,1.43,,EMA
2026-04-19 18:52 KST,SELL,111354000.0,0.02094315,2332103.5251,-0.3,인트라캔들하드스톱,,,,,0,
2026-05-02 05:00 KST,BUY,116196234.53375451,0.01407145269681437,1635049.817789675,,,Range,0.6957,5.1,0.3,,EMA
2026-05-04 07:15 KST,BUY_PYRAMID,116383131.77147502,0.0030286715176867864,352486.2763354545,,,Trend_Up,0.6027,,,,피라미딩Lv1
2026-05-04 12:12 KST,BUY_PYRAMID,116619740.83560234,0.0019594775235342306,228513.76096774987,,,Trend_Up,0.5126,,,,피라미딩Lv2
2026-05-04 19:24 KST,SELL,116060000.0,0.01900234,2205411.5804,-0.42,인트라캔들하드스톱,,,,,15,
2026-05-05 01:00 KST,BUY,118497000.0,0.01568413757786759,1858523.2505645761,,,Trend_Up,0.4792,5.9,0.97,,EMA
2026-05-05 14:25 KST,BUY_PYRAMID,118765013.04576951,0.0029665024747830204,352316.70511791296,,,Trend_Up,0.5594,,,,피라미딩Lv1
2026-05-11 05:49 KST,SELL,118002000.0,0.01861523,2196634.37046,-0.72,인트라캔들하드스톱,,,,,37,
2026-05-12 09:00 KST,BUY,120095000.0,0.01536589834260424,1845367.561455056,,,Trend_Up,0.5836,5.9,0.74,,EMA
2026-05-16 16:13 KST,SELL,116752000.0,0.01536589,1793998.38928,-3.08,인트라캔들하드스톱,,,,,25,
