entry_ai,entry_ts,entry,exit_ts,exit,regime,regime_market,type,strat,score,adx,rsi,atr_pct,xgb,pnl_net,hold_bars,reason,bt83_a_plus,bt83_size_mult
3047,2022-10-21 21:00:00,27620000.0,2022-11-08 09:00:00,28510000.0,Range,Range,leading_signal,P0,3.07,20.5,49.2,23.0,0.579,0.02922302679217958,105,트레일링,False,1.0
3292,2022-12-01 17:00:00,23152000.0,2022-12-07 13:00:00,22454000.0,Trend_Up,Trend_Up,pyramid,P2,3.77,27.2,66.5,24.0,0.505,-0.03314858327574292,35,ATR손절,False,1.0
3368,2022-12-14 09:00:00,23262000.0,2022-12-16 17:00:00,22565000.0,Trend_Up,Trend_Up,pyramid,P2,4.27,30.3,66.4,76.0,0.443,-0.03296302983406414,14,ATR손절,False,1.0
3499,2023-01-05 05:00:00,21588000.0,2023-01-31 01:00:00,28644000.0,Trend_Up,Trend_Up,pyramid,P2,4.27,28.3,67.1,33.0,0.523,0.30685759946112595,155,계단손절,False,1.0
3667,2023-02-02 05:00:00,29620000.0,2023-02-10 01:00:00,28536000.0,Range,Range,pyramid,P2,5.77,20.3,62.7,39.0,0.523,-0.03959689399054693,47,ATR손절,False,1.0
3759,2023-02-17 13:00:00,30701000.0,2023-02-25 09:00:00,30638000.0,Volatile,Volatile,trend,P0,4.77,44.2,57.6,98.0,0.557,-0.005052050421810365,47,트레일링,False,1.0
3807,2023-02-25 13:00:00,30622000.0,2023-03-03 09:00:00,29809000.0,Range,Range,pyramid,P2,5.27,22.7,35.3,44.0,0.861,-0.03609681688541227,35,계단손절,False,1.0
3869,2023-03-07 21:00:00,29810000.0,2023-03-09 05:00:00,29023000.0,Range,Range,leading_signal,P0,4.07,18.7,42.2,12.0,0.504,-0.029400536732640054,8,ATR손절,False,1.0
3912,2023-03-15 01:00:00,32904000.0,2023-03-23 01:00:00,35683000.0,Volatile,Volatile,trend,P0,4.77,44.2,69.8,100.0,0.533,0.08145781667882324,48,트레일링,False,1.0
3966,2023-03-24 01:00:00,37226000.0,2023-04-20 05:00:00,38300000.0,Trend_Up,Trend_Up,pyramid,P2,5.77,26.4,55.7,86.0,0.755,-0.01313921609107143,163,계단손절,False,1.0
