anchor,label_strategy,n_samples,B0_pf,B0_n,B1_pf,B1_n,B2_pf,B2_n,B3_pf,B3_n,B4_pf,B4_n,LIVE_pf,LIVE_n
8400,adaptive(dd>-0.002/rise<0.002),1685,1.1976890824341107,181,2.1880520186477534,251,1.7070760496150152,53,1.3053022421133675,90,1.4523825660245628,234,1.5701881550280594,54
8600,adaptive(dd>-0.002/rise<0.002),1682,0.8617153809273247,145,1.0858441834533867,263,6.936821439172546,56,3.33998107302431,104,3.899268410049935,201,4.554034818025381,65
8800,adaptive(dd>-0.002/rise<0.002),1670,1.2404508931467988,139,1.1690070422601888,253,1.5428008015031365,48,0.9887317060827913,73,1.3916258473249676,187,1.2957583826443342,52
9000,adaptive(dd>-0.002/rise<0.002),1669,1.9673104123694412,143,1.0542910614300152,211,2.7183754564159877,20,4.069018031363915,67,2.3428429343927144,163,2.4743345382574327,24
9200,adaptive(dd>-0.002/rise<0.002),1681,2.9770107328088935,161,1.6104031709691504,252,0.6302117470124243,63,0.7245822901325323,104,1.803611239910659,224,0.7461078854012514,71
9400,adaptive(dd>-0.002/rise<0.002),1689,1.1998962668068918,183,2.0909990263143188,242,1.3474503598564658,39,1.8976025118411852,91,1.2736733133316789,222,2.4790495311066714,58
9600,adaptive(dd>-0.002/rise<0.002),1720,2.148107733437683,159,1.8012244061668496,271,1.9969619896432649,36,1.2598063394024825,70,2.0725348615404737,195,1.350949069108625,43
9800,adaptive(dd>-0.002/rise<0.002),1730,1.793458039249597,144,1.971746908055412,205,0.25425132818824187,48,0.6300842050299456,105,1.0238546837189193,192,0.19860972941562763,60
10000,adaptive(dd>-0.002/rise<0.002),1718,0.6564774868962647,154,0.8451701033990614,262,0.5779347833789512,38,0.8024744717276494,84,0.6172061351376079,192,0.632074226428919,49
10200,adaptive(dd>-0.002/rise<0.002),1723,0.5593080943999422,148,0.6951241656620682,226,0.9254244445831136,30,0.3569288089275946,101,0.7423662694915278,178,0.8155292113449549,41
10400,adaptive(dd>-0.002/rise<0.002),1736,0.4480337462426164,185,0.4372506147853501,223,0.558505846874057,48,1.3288398162610706,103,0.5032697965583367,233,0.8732550189286029,66
10600,adaptive(dd>-0.002/rise<0.002),1709,0.47464565568971323,167,0.47687375428772866,320,0.7654522475971108,39,1.147574768358202,100,0.620048951643412,206,0.9502025018182424,47
