entry_ai,entry_ts,entry,exit_ts,exit,regime,regime_market,type,strat,score,adx,rsi,atr_pct,bt85_ema21_dist,bt85_high20_dist,bt85_entry_atr,mfe,pnl_net,hold_bars,reason
1390,2022-01-18 17:00:00,50863000.0,2022-01-21 05:00:00,49648000.0,Range,Range,leading_signal,P0,3.37,25.4,32.9,8.0,-0.017103718537320935,-0.03834300731693483,602414.1273574554,0.02455616066688949,-0.026887698326878085,15,트레일링
1464,2022-01-31 01:00:00,46704000.0,2022-02-04 01:00:00,45109000.0,Trend_Up,Trend_Up,pyramid,P2,3.77,28.7,55.1,36.0,0.0062197111098477136,-0.021823817702006452,794334.275104637,0.022610483042137718,-0.037151250428228845,24,트레일링
1522,2022-02-09 17:00:00,53075000.0,2022-02-12 13:00:00,51469000.0,Trend_Up,Trend_Up,pyramid,P2,3.77,47.0,58.3,64.0,0.01237809939652029,-0.04059941071202618,1022211.6590781684,0.02660386245878474,-0.03325906735751295,17,트레일링
1570,2022-02-17 17:00:00,52457000.0,2022-02-18 09:00:00,49746000.0,Range,Range,pyramid,P2,5.07,17.9,46.8,11.0,-0.007541877531817305,-0.02853809400348161,753348.9009635114,0.0,-0.05468042396629621,4,ATR손절
1718,2022-03-14 09:00:00,47691000.0,2022-04-01 09:00:00,54710000.0,Range,Range,leading_signal,P0,2.87,13.3,39.2,1.0,-0.01806358155917275,-0.04505316273202379,760040.1485024384,0.20542660040678534,0.144176616133023,108,트레일링
1829,2022-04-01 21:00:00,56542000.0,2022-04-06 21:00:00,54327000.0,Trend_Up,Trend_Up,pyramid,P2,5.77,30.8,56.7,85.0,0.009829441459757185,-0.01734445603058742,764642.7363251402,0.011106787874500371,-0.042174419015952744,30,ATR손절
1950,2022-04-22 01:00:00,51505000.0,2022-04-22 21:00:00,49795000.0,Trend_Up,Trend_Up,pyramid,P2,5.07,32.0,52.0,52.0,0.0015403337677154317,-0.02958078191238813,678716.4466387883,0.0,-0.03620066013008446,5,ATR손절
1980,2022-04-27 01:00:00,48865000.0,2022-05-05 21:00:00,48037000.0,Range,Range,leading_signal,P0,3.37,23.3,38.1,92.0,-0.022412464657921207,-0.045474967280682906,742671.3133216935,0.04328251304614755,-0.019944643405300316,53,트레일링
2112,2022-05-19 01:00:00,37818000.0,2022-05-27 09:00:00,37068000.0,Range,Range,leading_signal,P0,3.37,16.8,37.1,48.0,-0.030220414445309086,-0.07760975609756098,850080.1230469834,0.03347612248135808,-0.022831826114548627,50,트레일링
2235,2022-06-08 13:00:00,38781000.0,2022-06-11 21:00:00,36970000.0,Volatile,Volatile,trend,P0,4.07,24.8,52.5,100.0,0.0061170437505541995,-0.02931017220664798,720652.5218611722,0.0,-0.049698125370671205,20,ATR손절
2422,2022-07-09 17:00:00,28027000.0,2022-07-12 05:00:00,26460000.0,Trend_Up,Trend_Up,pyramid,P2,3.77,34.5,58.5,60.0,0.012777637882793904,-0.03634300646403521,532242.3690995525,0.006172619259999287,-0.05891037214114961,15,ATR손절
2471,2022-07-17 21:00:00,27923000.0,2022-07-19 01:00:00,28430000.0,Range,Range,pyramid,P2,5.07,22.4,59.0,45.0,0.013792572364064495,-0.019592008707559425,488235.2752809851,0.05808831429287684,0.0002641906423272739,7,계단손절
2492,2022-07-21 09:00:00,30039000.0,2022-07-25 09:00:00,29056000.0,Volatile,Volatile,trend,P0,3.27,41.7,54.6,100.0,0.006914278790555258,-0.05629732022242468,814344.9263972621,0.03275741536003196,-0.03572412530377177,24,트레일링
2551,2022-07-31 05:00:00,31281000.0,2022-08-17 13:00:00,31993000.0,Trend_Up,Trend_Up,pyramid,P2,4.27,49.6,56.4,59.0,0.008804377784658396,-0.037507692307692304,583264.5417442771,0.05974872926057351,0.010827545133571814,104,계단손절
2715,2022-08-27 13:00:00,27974000.0,2022-09-07 01:00:00,26380000.0,Range,Range,leading_signal,P0,3.37,21.8,26.4,34.0,-0.02993810344361941,-0.057955884829095805,393523.6554931679,0.002323586187173804,-0.05998148280546222,63,ATR손절
2905,2022-09-28 05:00:00,27501000.0,2022-10-11 05:00:00,27401000.0,Range,Range,pyramid,P2,5.07,19.1,47.4,72.0,-0.008063756771036776,-0.05533800494641385,504336.4143998269,0.05377986255045271,-0.014813731948397062,78,계단손절
3047,2022-10-21 21:00:00,27620000.0,2022-11-08 09:00:00,28510000.0,Range,Range,leading_signal,P0,3.07,20.5,49.2,23.0,-3.510096681811344e-05,-0.0198722498225692,276200.0,0.08102824040550326,0.02922302679217958,105,트레일링
