entry_ai,entry_ts,entry,exit_ts,exit,regime,regime_market,type,strat,score,adx,rsi,atr_pct,bt85_ema21_dist,bt85_high20_dist,bt85_entry_atr,mfe,pnl_net,hold_bars,reason
3291,2022-12-01 13:00:00,23068000.0,2022-12-07 13:00:00,22454000.0,Range,Range,leading_signal,P0,4.57,25.9,64.0,29.0,0.012634200499862615,-0.00965955437255828,230680.0,0.0036414080110976246,-0.029616958557308826,36,ATR손절
3367,2022-12-14 05:00:00,23161000.0,2022-12-16 17:00:00,22565000.0,Trend_Up,Trend_Up,leading_signal,P0,4.27,28.2,63.5,76.0,0.012898153892835194,-0.01860169491525424,231610.0,0.019170156728984068,-0.02873291308665429,15,ATR손절
3499,2023-01-05 05:00:00,21588000.0,2023-01-31 01:00:00,28644000.0,Trend_Up,Trend_Up,leading_signal,P0,4.27,28.3,67.1,33.0,0.008958608403222991,-0.006626173384870237,215880.0,0.38447285528997593,0.32384824902723736,155,트레일링
3667,2023-02-02 05:00:00,29620000.0,2023-02-10 01:00:00,28536000.0,Range,Range,pyramid,P2,5.77,20.3,62.7,39.0,0.019026022864354283,-0.010092908228059621,367931.60469888133,0.010769750168804862,-0.03959689399054693,47,ATR손절
3757,2023-02-17 05:00:00,30451000.0,2023-02-25 09:00:00,30638000.0,Volatile,Volatile,trend,P0,3.17,47.2,56.5,100.0,0.012344942758975014,-0.061833754390288986,574046.7650934581,0.060950379297888414,0.003141013431414403,49,트레일링
3807,2023-02-25 13:00:00,30622000.0,2023-03-03 09:00:00,29809000.0,Range,Range,pyramid,P2,5.27,22.7,35.3,44.0,-0.0181769247812936,-0.04303259476858652,392716.2327852354,0.024263601332375418,-0.03609681688541227,35,계단손절
3869,2023-03-07 21:00:00,29810000.0,2023-03-09 05:00:00,29023000.0,Range,Range,leading_signal,P0,4.07,18.7,42.2,12.0,-0.003925145606245091,-0.009535834136292654,298100.0,0.0,-0.029400536732640054,8,ATR손절
3912,2023-03-15 01:00:00,32904000.0,2023-03-23 01:00:00,35683000.0,Volatile,Volatile,trend,P0,4.77,44.2,69.8,100.0,0.0788668963797123,-0.045403115843221445,918871.5373688733,0.1547836129345976,0.08145781667882324,48,트레일링
3965,2023-03-23 21:00:00,37339000.0,2023-04-20 05:00:00,38300000.0,Trend_Up,Trend_Up,pyramid,P2,4.97,27.5,56.7,85.0,0.017085726672149703,-0.027630208333333333,802124.3979043053,0.07608666541685637,0.010491516788129606,164,계단손절
4174,2023-04-27 17:00:00,38805000.0,2023-05-08 17:00:00,37459000.0,Volatile,Volatile,trend,P0,3.97,27.8,60.5,98.0,0.02622985527737651,-0.026223337515683814,774402.0595938131,0.01870892926169308,-0.03768625177167891,66,트레일링
