entry_ai,entry_ts,entry,exit_ts,exit,regime,regime_market,type,strat,score,adx,rsi,atr_pct,bt85_ema21_dist,bt85_high20_dist,bt85_entry_atr,mfe,pnl_net,hold_bars,reason
2658,2022-08-18 01:00:00,31452000.0,2022-08-19 13:00:00,30008000.0,Range,Range,pyramid,P2,5.27,18.0,34.9,34.0,-0.020857573058548247,-0.059730941704035874,397954.869959579,0.008520920768154649,-0.0489112298105049,9,ATR손절
2715,2022-08-27 13:00:00,27974000.0,2022-09-07 01:00:00,26380000.0,Range,Range,leading_signal,P0,3.37,21.8,26.4,34.0,-0.02993810344361941,-0.057955884829095805,393523.6554931679,0.002323586187173804,-0.05998148280546222,63,ATR손절
2903,2022-09-27 21:00:00,28490000.0,2022-09-28 13:00:00,27291000.0,Range,Range,pyramid,P2,5.07,20.7,65.9,45.0,0.02577904022753252,-0.021365759824127507,446526.2557536453,0.0,-0.04508494208494209,4,ATR손절
2909,2022-09-28 21:00:00,28082000.0,2022-10-07 21:00:00,27958000.0,Range,Range,pyramid,P2,5.07,17.7,56.7,88.0,0.015216569503058162,-0.035380599065677386,536087.7845604294,0.031977779360444415,-0.0159116521903651,54,계단손절
3047,2022-10-21 21:00:00,27620000.0,2022-11-08 09:00:00,28510000.0,Range,Range,leading_signal,P0,3.07,20.5,49.2,23.0,-3.510096681811344e-05,-0.0198722498225692,276200.0,0.08102824040550326,0.02922302679217958,105,트레일링
3312,2022-12-05 01:00:00,22915000.0,2022-12-16 17:00:00,22565000.0,Trend_Up,Trend_Up,pyramid,P2,3.27,36.6,55.5,3.0,0.003013796257910379,-0.020726495726495726,229150.0,0.030111280820423303,-0.03230515372061089,70,계단손절
3588,2023-01-20 01:00:00,26231000.0,2023-01-31 01:00:00,28644000.0,Trend_Up,Trend_Up,pyramid,P2,4.47,28.7,58.7,68.0,0.009021343824695273,-0.021048703116253033,378737.57464426564,0.1394151957607411,0.07210373286630795,66,계단손절
3677,2023-02-03 21:00:00,29635000.0,2023-02-10 01:00:00,28536000.0,Range,Range,pyramid,P2,5.77,23.1,57.0,26.0,0.006843002240772994,-0.021462770348357273,352674.0167829153,0.0,-0.04008452842922221,37,ATR손절
3757,2023-02-17 05:00:00,30451000.0,2023-02-25 09:00:00,30638000.0,Volatile,Volatile,trend,P0,3.17,47.2,56.5,100.0,0.012344942758975014,-0.061833754390288986,574046.7650934581,0.060950379297888414,0.003141013431414403,49,트레일링
3807,2023-02-25 13:00:00,30622000.0,2023-03-03 09:00:00,29809000.0,Range,Range,pyramid,P2,5.27,22.7,35.3,44.0,-0.0181769247812936,-0.04303259476858652,392716.2327852354,0.024263601332375418,-0.03609681688541203,35,계단손절
3869,2023-03-07 21:00:00,29810000.0,2023-03-09 05:00:00,29023000.0,Range,Range,leading_signal,P0,4.07,18.7,42.2,12.0,-0.003925145606245091,-0.009535834136292654,298100.0,0.0,-0.029400536732640054,8,ATR손절
