entry_ts,exit_ts,entry_price,exit_price,regime,sizing_pct,ema21_dist_pct,tp1_reached,pyramid_count,exit_reason,hold_bars,pnl_pct
2026-07-04 21:00,2026-07-06 22:06,94390516.2,92850000,Trend_Up,80,1.48,Y,1,인트라캔들하드스톱(스텝손절B2),12,-1.93
2026-07-07 05:00,2026-07-13 12:22,95679000.0,93742000,Trend_Up,80,1.17,N,0,인트라캔들하드스톱(트레일링),37,-2.32
2026-07-15 09:00,2026-07-17 14:52,95495272.9,92701000,Trend_Up,80,1.26,N,0,인트라캔들하드스톱(트레일링),13,-3.23
2026-07-21 01:00,2026-07-24 22:31,95843661.7,94051000,Range→Trend_Up,70,0.90,Y,1,인트라캔들하드스톱(스텝손절B2),23,-2.17
